Authorised on;Processed on;Amount;Currency;Description;Payment type;Status;Assunto;Amount in foreign currency;Currency;Exchange rate
15.06.23;16.06.23;-1;EUR;BURGER KING 14377 SOT;contactless;Processed;restaurante;;;
15.06.23;19.06.23;-33,65;EUR;Aral Tankstelle 285217;contactless;Processed;farmacia;;;
14.06.23;16.06.23;-8,99;EUR;AMZNPRIME DE*NH5I33Y45;e-commerce;Processed;amazon;;;
14.06.23;15.06.23;-6,79;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
14.06.23;19.06.23;-89,7;EUR;AMZN Mktp DE*IO9QJ8T25;e-commerce;Processed;amazon;;;
14.06.23;10.06.23;11,99;EUR;AMZ*Kinear Direct;deposit;Processed;amazon;;;
13.06.23;14.06.23;-10,74;EUR;ALDI SUED;contactless;Processed;mercado;;;
13.06.23;14.06.23;-9,98;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
13.06.23;14.06.23;-9,99;EUR;AMZN Mktp DE*E51MF1ZM5;e-commerce;Processed;amazon;;;
12.06.23;13.06.23;-6,47;EUR;SCHECK-IN CENTER;contactless;Processed;0;;;
12.06.23;13.06.23;-5,15;EUR;Amazon.de;e-commerce;Processed;amazon;;;
12.06.23;13.06.23;-28,14;EUR;ALDI SUED;contactless;Processed;mercado;;;
11.06.23;12.06.23;-38,78;EUR;AMZN Mktp DE*RW0TE5O75;e-commerce;Processed;amazon;;;
11.06.23;12.06.23;-59,95;EUR;AMZN Mktp DE*K104R4LW5;e-commerce;Processed;amazon;;;
10.06.23;12.06.23;-102,24;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
10.06.23;12.06.23;-15,54;EUR;REWE Filialen Voll;contactless;Processed;mercado;;;
10.06.23;13.06.23;-164,99;EUR;Amazon.de;e-commerce;Processed;amazon;;;
09.06.23;12.06.23;-92,43;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
09.06.23;12.06.23;-80;EUR;016 Hallhuber GmbH;contactless;Processed;compras roupa;;;
09.06.23;12.06.23;-29,95;EUR;Zara Deutschland 3421;contactless;Processed;compras roupa;;;
09.06.23;10.06.23;2.655,22;EUR;Lastschrift;direct-debit;Processed;0;;;
09.06.23;09.06.23;-0,21;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.06.23;09.06.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
07.06.23;09.06.23;-63,88;EUR;AMZN Mktp DE*FK4779775;e-commerce;Processed;amazon;;;
07.06.23;09.06.23;-5,09;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
07.06.23;09.06.23;-10,56;EUR;TEBEX.ORG *HYPIXELSTO;e-commerce;Processed;0;-11,29;USD;1.068.948
07.06.23;09.06.23;-136,97;EUR;HFB ECO IKEA 063 ECHIN;contactless;Processed;compras casa;;;
07.06.23;09.06.23;-30,7;EUR;MÖMAX-ECHING;contactless;Processed;compras casa;;;
06.06.23;07.06.23;-8,04;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
06.06.23;07.06.23;-66,45;EUR;ALDI SUED;contactless;Processed;mercado;;;
06.06.23;07.06.23;-0,99;EUR;SCHLOSS BURGER GMBH;contactless;Processed;0;;;
06.06.23;07.06.23;-66,1;EUR;Mulino;contactless;Processed;restaurante;;;
06.06.23;06.06.23;-23,4;EUR;Hunkemoller  4379;contactless;Processed;compras roupa;;;
06.06.23;07.06.23;-204,95;EUR;NikePOS_DE;contactless;Processed;compras roupa;;;
06.06.23;09.06.23;-70,84;EUR;ALLGUTH GMBH;contactless;Processed;gasolina;;;
05.06.23;06.06.23;-34,99;EUR;Amazon.de;e-commerce;Processed;amazon;;;
05.06.23;05.06.23;-54,89;EUR;AMZN Mktp DE*VR7AB0CB5;e-commerce;Processed;amazon;;;
05.06.23;05.06.23;-3;EUR;Ihle Cafe Geiselbullac;retail-store;Processed;Padaria;;;
04.06.23;05.06.23;-13,48;EUR;AMZN Mktp DE*9B3UV04R5;e-commerce;Processed;amazon;;;
04.06.23;05.06.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
03.06.23;05.06.23;-72,99;EUR;GameStop Deutschland G;contactless;Processed;VideoGame;;;
03.06.23;05.06.23;-4,5;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
02.06.23;09.06.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
02.06.23;10.05.23;596,93;EUR;www.asos.com;deposit;Processed;0;;;
02.06.23;10.05.23;289,95;EUR;WWW.COMMA-FASHION.COM;deposit;Processed;compras roupa;;;
01.06.23;02.06.23;-10,99;EUR;AMZN Mktp DE*1E50486B5;e-commerce;Processed;amazon;;;
01.06.23;02.06.23;-4,88;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
30.05.23;31.05.23;-14,45;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
28.05.23;30.05.23;-5;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
27.05.23;30.05.23;-23,11;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
27.05.23;30.05.23;-17,56;EUR;ALDI SUED;contactless;Processed;mercado;;;
27.05.23;30.05.23;-28,08;EUR;REWE Filialen Voll;contactless;Processed;mercado;;;
27.05.23;30.05.23;-277,89;EUR;hagebau Fuerstenfeldbr;contactless;Processed;Baumarkt;;;
27.05.23;30.05.23;-9,5;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
27.05.23;30.05.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
26.05.23;30.05.23;-76;EUR;73 Burger Bar;contactless;Processed;restaurante;;;
25.05.23;26.05.23;-4,25;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
25.05.23;26.05.23;-22;EUR;SumUp  *KatNi-Asia Bis;contactless;Processed;restaurante;;;
25.05.23;25.05.23;-63;EUR;WWW.FUTALIS.DE;retail-store;Processed;Racao animais;;;
24.05.23;26.05.23;-38,75;EUR;Amazon.de;e-commerce;Processed;amazon;;;
24.05.23;24.05.23;-0,36;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
23.05.23;24.05.23;-18,21;EUR;VTURB;e-commerce;Processed;Vturb;-97;BRL;5.327.101
22.05.23;22.05.23;-0,43;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
21.05.23;23.05.23;-87,62;EUR;PORTO EDITORA;e-commerce;Processed;Livro;;;
21.05.23;22.05.23;-5,3;EUR;Jaeger Parkhaus-Betrei;contactless;Processed;estacionamento;;;
21.05.23;22.05.23;-59,1;EUR;VAPIANO STUTTGART 1;contactless;Processed;restaurante;;;
21.05.23;22.05.23;-36;EUR;AMAZON.DE*JJ51W4WT5 WW;e-commerce;Processed;amazon;;;
21.05.23;22.05.23;-2,55;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
20.05.23;22.05.23;-22,12;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.075.834
19.05.23;22.05.23;-5,95;EUR;CAFE Groebenzell;contactless;Processed;0;;;
19.05.23;22.05.23;-5,86;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
17.05.23;19.05.23;-55,98;EUR;FRESSNAPF TIERNAHRUNGS;e-commerce;Processed;Racao animais;;;
17.05.23;19.05.23;-45,27;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
17.05.23;19.05.23;-25,39;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
17.05.23;19.05.23;-41,95;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
17.05.23;19.05.23;-35,97;EUR;Fressnapf Puchheim;contactless;Processed;Racao animais;;;
17.05.23;22.05.23;-453,89;EUR;WWW.COMMA-FASHION.COM;e-commerce;Processed;compras roupa;;;
17.05.23;19.05.23;-13,99;EUR;AMZN Mktp DE*TQ84109E5;e-commerce;Processed;amazon;;;
17.05.23;19.05.23;-607,92;EUR;www.asos.com;e-commerce;Processed;0;;;
16.05.23;17.05.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.05.23;17.05.23;-14,44;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
16.05.23;17.05.23;-3,82;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
16.05.23;17.05.23;-75,25;EUR;ALDI SUED;contactless;Processed;mercado;;;
14.05.23;15.05.23;-8,99;EUR;AMZNPRIME DE*UP29G8B45;e-commerce;Processed;amazon;;;
14.05.23;15.05.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
12.05.23;15.05.23;-18,74;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
12.05.23;15.05.23;-51,25;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
11.05.23;15.05.23;-85,92;EUR;AMZN MKTP DE*FV6O72HY5;e-commerce;Processed;amazon;;;
10.05.23;12.05.23;-79,19;EUR;Aral Station 191474105;contactless;Processed;gasolina;;;
10.05.23;11.05.23;-40,67;EUR;ALDI SUED;contactless;Processed;mercado;;;
10.05.23;11.05.23;-114,9;EUR;AMZ* OK LIVING;e-commerce;Processed;amazon;;;
09.05.23;10.05.23;-11,2;EUR;TEDi Fil  4534;contactless;Processed;compras casa;;;
09.05.23;10.05.23;-13,24;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
09.05.23;10.05.23;1.858,34;EUR;Lastschrift;direct-debit;Processed;0;;;
09.05.23;09.05.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.05.23;09.05.23;-7,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
08.05.23;09.05.23;-23,49;EUR;Hutter Büro GmbH & Co.;contactless;Processed;livro;;;
08.05.23;07.04.23;140,92;EUR;DECATHLON Deutschland;deposit;Processed;compras roupa;;;
07.05.23;08.05.23;-44;EUR;SumUp  *Tevhid Restaur;contactless;Processed;restaurante;;;
07.05.23;08.05.23;-6,9;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
06.05.23;08.05.23;-2,99;EUR;Amazon.de;e-commerce;Processed;amazon;;;
06.05.23;08.05.23;-45,98;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
06.05.23;08.05.23;-178,48;EUR;INTIMISSIMI CALZEDONIA;contactless;Processed;compras roupa;;;
05.05.23;08.05.23;-12,75;EUR;DANKE DER BUCHLADEN;retail-store;Processed;Livro;;;
04.05.23;05.05.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
04.05.23;05.05.23;-20,65;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
03.05.23;05.05.23;-183,5;EUR;AMZN Mktp DE*651NL42X5;e-commerce;Processed;amazon;;;
03.05.23;04.05.23;-19,95;EUR;Apoth. im Edeka-Center;contactless;Processed;farmacia;;;
03.05.23;04.05.23;-35,7;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
03.05.23;07.04.23;14,68;EUR;AMZ*XinXing Sports;deposit;Processed;amazon;;;
01.05.23;02.05.23;-6,35;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
30.04.23;02.05.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
29.04.23;02.05.23;-1,7;EUR;TCHIBO 2953;contactless;Processed;0;;;
29.04.23;02.05.23;-14,95;EUR;Internationale Leopold;contactless;Processed;Ferias;;;
29.04.23;02.05.23;-9,9;EUR;i love leo GmbH&Co.KG;contactless;Processed;0;;;
28.04.23;02.05.23;-500;EUR;Wise;e-commerce;Processed;Transferwise;;;
28.04.23;02.05.23;-4,25;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
26.04.23;07.04.23;59,57;EUR;NEWPHARMA;deposit;Processed;0;;;
25.04.23;07.04.23;8,99;EUR;AMZ*CENTRO TUINA DI ZH;deposit;Processed;amazon;;;
24.04.23;25.04.23;-14,68;EUR;AMZN Mktp DE*3C2H936I5;e-commerce;Processed;amazon;;;
24.04.23;25.04.23;-23,76;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
24.04.23;24.04.23;-0,34;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
24.04.23;07.04.23;44,99;EUR;DECATHLON Deutschland;deposit;Processed;compras roupa;;;
23.04.23;24.04.23;-17,61;EUR;VTURB;e-commerce;Processed;Vturb;-97;BRL;5.507.837
23.04.23;24.04.23;-35,24;EUR;Marien Apotheke;contactless;Processed;farmacia;;;
23.04.23;24.04.23;-10,33;EUR;BURGER KING KIRCHHEIM;contactless;Processed;restaurante;;;
23.04.23;24.04.23;-7,45;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
22.04.23;24.04.23;-12;EUR;Beeline Retail GmbH /;contactless;Processed;compras roupa;;;
22.04.23;24.04.23;-121,75;EUR;Schmid GmbH;contactless;Processed;???;;;
22.04.23;24.04.23;-163,92;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
21.04.23;24.04.23;-40,89;EUR;AMZN Mktp DE*582DS3RB5;e-commerce;Processed;amazon;;;
21.04.23;24.04.23;-59,57;EUR;NEWPHARMA;e-commerce;Processed;0;;;
21.04.23;24.04.23;-36;EUR;AMAZON.DE*VX0FA07K5 WW;e-commerce;Processed;amazon;;;
21.04.23;21.04.23;-0,42;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.04.23;21.04.23;-21,77;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;109.313
19.04.23;20.04.23;-189,9;EUR;DECATHLON Deutschland;e-commerce;Processed;compras roupa;;;
19.04.23;20.04.23;-4,55;EUR;TEDI Fil  5367;contactless;Processed;compras casa;;;
19.04.23;20.04.23;-9,45;EUR;Apoth. im Edeka-Center;contactless;Processed;farmacia;;;
19.04.23;20.04.23;-22,91;EUR;ASIA MARKT OLCHING;contactless;Processed;mercado;;;
19.04.23;19.04.23;-9,22;EUR;AMZN Mktp DE*U01JK6O25;e-commerce;Processed;amazon;;;
17.04.23;20.04.23;-3,95;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
16.04.23;17.04.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
15.04.23;17.04.23;-25,96;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
15.04.23;17.04.23;-5,6;EUR;SumUp  *Biu Tea;contactless;Processed;restaurante;;;
15.04.23;17.04.23;-73;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
14.04.23;17.04.23;-8,99;EUR;AMZNPrime DE*0D9FW6045;e-commerce;Processed;amazon;;;
13.04.23;14.04.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
13.04.23;07.04.23;338,7;EUR;DIGITALPUBL;deposit;Processed;0;369;USD;1.089.454
13.04.23;07.04.23;6,6;EUR;1,95% für Währungsumrechn;unknown;Processed;0;;;
12.04.23;13.04.23;-16,5;EUR;ALDI SUED;contactless;Processed;mercado;;;
12.04.23;13.04.23;-17,86;EUR;AMZN Mktp DE*V844X1V65;e-commerce;Processed;amazon;;;
12.04.23;12.04.23;-6,64;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
11.04.23;12.04.23;-340,52;EUR;DIGITALPUBL;e-commerce;Processed;0;-369;USD;1.083.647
09.04.23;11.04.23;-8,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
08.04.23;11.04.23;-7,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
08.04.23;11.04.23;-3,45;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
06.04.23;11.04.23;-2,5;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
06.04.23;07.04.23;625;EUR;Lastschrift;direct-debit;Processed;0;;;
06.04.23;06.04.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
05.04.23;05.04.23;-28,97;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
05.04.23;06.04.23;-5,6;EUR;SumUp  *Biu Tea;contactless;Processed;restaurante;;;
05.04.23;05.04.23;-13,98;EUR;DECATHLON Deutschland;retail-store;Processed;compras roupa;;;
04.04.23;05.04.23;-20,98;EUR;AMZN Mktp DE*XN83F9UD5;e-commerce;Processed;amazon;;;
03.04.23;04.04.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
03.04.23;05.04.23;-28,28;EUR;FUTALIS GMBH;transfer;Processed;Racao animais;;;
03.04.23;04.04.23;-20,9;EUR;SP BONO.DE;e-commerce;Processed;mercado;;;
02.04.23;03.04.23;-3,6;EUR;MCDONALDS0397;contactless;Processed;restaurante;;;
02.04.23;03.04.23;-73;EUR;Brauhaus Schoenbuch;contactless;Processed;restaurante;;;
02.04.23;03.04.23;-8,1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
01.04.23;03.04.23;-3,95;EUR;La Pizza EnricoRossini;contactless;Processed;restaurante;;;
29.03.23;30.03.23;-23,55;EUR;Pommefreunde;contactless;Processed;restaurante;;;
28.03.23;29.03.23;-23,2;EUR;ALDI SUED;contactless;Processed;mercado;;;
28.03.23;30.03.23;-57,66;EUR;Aral Station 191474105;contactless;Processed;gasolina;;;
25.03.23;27.03.23;-3,2;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
24.03.23;27.03.23;-45;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
23.03.23;24.03.23;-8,99;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
23.03.23;24.03.23;-19,59;EUR;Rossmann 1032;contactless;Processed;DM;;;
22.03.23;23.03.23;-36;EUR;AMAZON.DE*X41TX8XH5 WW;e-commerce;Processed;amazon;;;
21.03.23;22.03.23;-25,99;EUR;Fressnapf Fuerstenfel;contactless;Processed;Racao animais;;;
21.03.23;22.03.23;-13,02;EUR;UZR*Amper Apotheke Tho;contactless;Processed;farmacia;;;
21.03.23;22.03.23;-9,9;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
21.03.23;21.03.23;-0,44;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.03.23;21.03.23;-22,39;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.063.052
20.03.23;22.03.23;-13,89;EUR;AMZN Mktp DE*ET2XV91Q5;e-commerce;Processed;amazon;;;
20.03.23;21.03.23;-3,9;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.03.23;17.03.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.03.23;20.03.23;-10,39;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
14.03.23;15.03.23;-0,9;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
12.03.23;13.03.23;-24,15;EUR;AMZN Mktp DE*1R6JG52S4;e-commerce;Processed;amazon;;;
12.03.23;13.03.23;-1,79;EUR;MCDONALDS 00644;contactless;Processed;restaurante;;;
12.03.23;13.03.23;-7,6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
11.03.23;13.03.23;-27,1;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
11.03.23;13.03.23;-6,79;EUR;DANKE BZO OLCHING GMBH;contactless;Processed;Baumarkt;;;
11.03.23;13.03.23;-4,6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
10.03.23;13.03.23;-12,45;EUR;APOTHEKE CENTER 1;retail-store;Processed;farmacia;;;
09.03.23;10.03.23;625,89;EUR;Lastschrift;direct-debit;Processed;0;;;
09.03.23;09.03.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.03.23;09.03.23;-7,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
07.03.23;08.03.23;-23;EUR;VOGELHAUSBRAEU GMBH;contactless;Processed;restaurante;;;
06.03.23;07.03.23;-3;EUR;Rossmann 1032;contactless;Processed;DM;;;
06.03.23;07.03.23;-3,74;EUR;Rossmann 1032;contactless;Processed;DM;;;
05.03.23;06.03.23;-3,05;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
04.03.23;06.03.23;-32,89;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
04.03.23;06.03.23;-77;EUR;Aral Station 191227008;contactless;Processed;gasolina;;;
03.03.23;06.03.23;-6,68;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
03.03.23;06.03.23;-12,85;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
03.03.23;03.03.23;-0,09;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
02.03.23;03.03.23;-78,47;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
02.03.23;03.03.23;-4,73;EUR;WWW.MAKE.COM;e-commerce;Processed;0;-5;USD;105.805
01.03.23;02.03.23;-21,95;EUR;AMZN Mktp DE*1L3UD46Z4;e-commerce;Processed;amazon;;;
01.03.23;02.03.23;-40,44;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
28.02.23;01.03.23;-7,46;EUR;REWE Olching Hauptstr.;contactless;Processed;mercado;;;
28.02.23;01.03.23;-20,23;EUR;Hutter Büro GmbH & Co.;contactless;Processed;livro;;;
27.02.23;24.02.23;1.389;EUR;Einzahlung;unknown;Processed;0;;;
21.02.23;21.02.23;-0,44;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.02.23;21.02.23;-22,31;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.066.919
20.02.23;21.02.23;-13,32;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
20.02.23;17.02.23;-1.371,70;EUR;Rücklastschrift;unknown;Processed;???;;;
19.02.23;21.02.23;-18,18;EUR;AMZN MKTP DE*132VV2BA4;e-commerce;Processed;amazon;;;
19.02.23;20.02.23;-25,98;EUR;home24 SE;e-commerce;Processed;compras casa;;;
19.02.23;20.02.23;-11,59;EUR;AMZN Mktp DE*131XT3HO4;e-commerce;Processed;amazon;;;
19.02.23;21.02.23;-36;EUR;AMAZON.DE*136N10694 WW;e-commerce;Processed;amazon;;;
18.02.23;21.02.23;-46,08;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
18.02.23;20.02.23;-10,07;EUR;MCDONALDS 1701;contactless;Processed;restaurante;;;
18.02.23;20.02.23;-11,19;EUR;AMZN Mktp DE*136GF6VF4;e-commerce;Processed;amazon;;;
18.02.23;20.02.23;-19,83;EUR;AMZN Mktp DE*130IW4VK4;e-commerce;Processed;amazon;;;
18.02.23;20.02.23;-1,95;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
17.02.23;20.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.02.23;17.02.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
15.02.23;16.02.23;-11,04;EUR;Apoth. im Edeka-Center;contactless;Processed;farmacia;;;
14.02.23;15.02.23;-3,7;EUR;MÜNCHNER VERKEHRSGESEL;contactless;Processed;0;;;
13.02.23;13.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
12.02.23;13.02.23;-7;EUR;PARKHAUS FLUGHAFEN;contactless;Processed;estacionamento;;;
12.02.23;13.02.23;-8,1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
10.02.23;13.02.23;-16,99;EUR;AMZN Mktp DE*1Q2WY9SM4;e-commerce;Processed;amazon;;;
10.02.23;13.02.23;-17,9;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
10.02.23;10.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
09.02.23;10.02.23;-1,8;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
09.02.23;09.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
09.02.23;10.02.23;1.368,21;EUR;Lastschrift;direct-debit;Processed;0;;;
09.02.23;09.02.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.02.23;09.02.23;-7,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
08.02.23;14.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
07.02.23;07.02.23;-130;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
06.02.23;07.02.23;-8,37;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
06.02.23;08.02.23;-21,78;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
06.02.23;10.01.23;89,88;EUR;ABOUTYOU.DE;deposit;Processed;compras roupa;;;
04.02.23;06.02.23;-4,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
04.02.23;06.02.23;-410;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
04.02.23;06.02.23;-220;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
04.02.23;09.02.23;-14,95;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
03.02.23;06.02.23;-14;EUR;PARKHAUS FLUGHAFEN;contactless;Processed;estacionamento;;;
01.02.23;01.02.23;-2;EUR;Ihle Cafe Geiselbullac;retail-store;Processed;Padaria;;;
31.01.23;03.02.23;-2;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
31.01.23;01.02.23;-8,4;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
30.01.23;31.01.23;-9,15;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
30.01.23;31.01.23;-2;EUR;POLLUX GRUNDSTÜCKSGESE;contactless;Processed;0;;;
30.01.23;31.01.23;-68;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
28.01.23;30.01.23;-4,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
27.01.23;30.01.23;-179,76;EUR;ABOUTYOU.DE;e-commerce;Processed;compras roupa;;;
25.01.23;27.01.23;-92,16;EUR;AMZN Mktp DE*1O3GB8NY4;e-commerce;Processed;amazon;;;
25.01.23;26.01.23;-27,9;EUR;Apoth. im Edeka-Center;contactless;Processed;farmacia;;;
24.01.23;25.01.23;-23,99;EUR;Fressnapf Puchheim;contactless;Processed;Racao animais;;;
23.01.23;24.01.23;-12;EUR;Hutter Büro GmbH & Co.;contactless;Processed;livro;;;
21.01.23;23.01.23;-6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
20.01.23;23.01.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
19.01.23;20.01.23;-10,48;EUR;Fressnapf Puchheim;retail-store;Processed;Racao animais;;;
18.01.23;19.01.23;-59,9;EUR;Quick Schuh;retail-store;Processed;compras roupa;;;
17.01.23;18.01.23;-2,4;EUR;Landbaeckerei Ihle;contactless;Processed;Padaria;;;
17.01.23;18.01.23;-3,7;EUR;MÜNCHNER VERKEHRSGESEL;contactless;Processed;0;;;
16.01.23;17.01.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
14.01.23;16.01.23;-73;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
